,Step_size,Iteration,Conditional guide,Guide Mode,Path,guide_scale,guide_scale_base,accurancy,count_att,count_diff
48,3,30,False,,1,0,0.0,62.21,3408.0,371.0
49,20,21,False,,1,0,0.0,82.35,1026.0,739.0
50,10,8,False,,1,0,0.0,75.0,2191.0,309.0
51,10,20,False,,1,0,0.0,77.73,1602.0,625.0
52,3,31,False,,1,0,0.0,63.02,3367.0,331.0
53,10,9,False,,1,0,0.0,75.48,2101.0,351.0
54,3,32,False,,1,0,0.0,62.89,3348.0,363.0
55,10,10,False,,1,0,0.0,77.13,1939.0,348.0
56,10,21,False,,1,0,0.0,78.38,1513.0,649.0
57,20,22,False,,1,0,0.0,82.06,1076.0,718.0
58,3,33,False,,1,0,0.0,63.22,3270.0,408.0
59,10,11,False,,1,0,0.0,77.75,1826.0,399.0
60,3,34,False,,1,0,0.0,64.68,3145.0,387.0
61,9,22,False,,1,0,0.0,76.92,1673.0,635.0
62,10,12,False,,1,0,0.0,77.85,1788.0,427.0
63,3,35,False,,1,0,0.0,64.05,3147.0,448.0
64,9,23,False,,1,0,0.0,76.42,1696.0,662.0
65,10,13,False,,1,0,0.0,77.88,1725.0,487.0
66,20,23,False,,1,0,0.0,82.43,1021.0,736.0
67,3,36,False,,1,0,0.0,65.46,3007.0,447.0
68,10,14,False,,1,0,0.0,77.76,1736.0,488.0
69,3,37,False,,1,0,0.0,65.14,3038.0,448.0
70,8,24,False,,1,0,0.0,75.37,1833.0,630.0
71,3,38,False,,1,0,0.0,65.84,2966.0,450.0
72,10,15,False,,1,0,0.0,78.02,1727.0,471.0
73,8,25,False,,1,0,0.0,75.56,1768.0,676.0
74,20,24,False,,1,0,0.0,81.94,1024.0,782.0
75,3,39,False,,1,0,0.0,65.94,2961.0,445.0
76,10,16,False,,1,0,0.0,78.08,1688.0,504.0
77,2,40,False,,1,0,0.0,57.9,3934.0,276.0
78,8,26,False,,1,0,0.0,76.06,1693.0,701.0
79,10,17,False,,1,0,0.0,78.41,1609.0,550.0
80,2,41,False,,1,0,0.0,57.93,3923.0,284.0
81,7,27,False,,1,0,0.0,74.48,1868.0,684.0
82,20,25,False,,1,0,0.0,81.72,1082.0,746.0
83,2,42,False,,1,0,0.0,57.97,3908.0,295.0
84,10,18,False,,1,0,0.0,78.59,1583.0,558.0
85,2,43,False,,1,0,0.0,58.63,3823.0,314.0
86,7,28,False,,1,0,0.0,74.24,1908.0,668.0
87,2,44,False,,1,0,0.0,59.27,3771.0,302.0
88,10,19,False,,1,0,0.0,77.97,1578.0,625.0
89,7,29,False,,1,0,0.0,74.39,1854.0,707.0
90,2,45,False,,1,0,0.0,59.84,3684.0,332.0
91,20,26,False,,1,0,0.0,82.01,1014.0,785.0
92,10,20,False,,1,0,0.0,77.74,1600.0,626.0
93,2,46,False,,1,0,0.0,60.1,3644.0,346.0
94,7,30,False,,1,0,0.0,74.15,1871.0,714.0
95,2,47,False,,1,0,0.0,60.77,3556.0,367.0
96,10,21,False,,1,0,0.0,78.37,1513.0,650.0
97,2,48,False,,1,0,0.0,61.45,3505.0,350.0
98,6,31,False,,1,0,0.0,73.27,1974.0,699.0
99,20,27,False,,1,0,0.0,80.82,1074.0,844.0
100,10,22,False,,1,0,0.0,77.78,1568.0,654.0
101,2,49,False,,1,0,0.0,61.49,3512.0,339.0
102,6,32,False,,1,0,0.0,72.87,2041.0,672.0
103,2,50,False,,1,0,0.0,62.06,3438.0,356.0
104,10,23,False,,1,0,0.0,77.86,1539.0,675.0
105,2,51,False,,1,0,0.0,62.66,3351.0,383.0
106,6,33,False,,1,0,0.0,73.01,2007.0,692.0
107,2,52,False,,1,0,0.0,62.23,3400.0,377.0
108,20,28,False,,1,0,0.0,80.98,1076.0,826.0
109,10,24,False,,1,0,0.0,77.37,1527.0,736.0
110,6,34,False,,1,0,0.0,73.03,1966.0,731.0
111,2,53,False,,1,0,0.0,63.23,3277.0,400.0
112,2,54,False,,1,0,0.0,63.39,3255.0,406.0
113,10,25,False,,1,0,0.0,77.43,1529.0,728.0
114,6,35,False,,1,0,0.0,72.99,1951.0,750.0
115,2,55,False,,1,0,0.0,64.03,3179.0,418.0
116,20,29,False,,1,0,0.0,80.84,1098.0,818.0
117,6,36,False,,1,0,0.0,73.3,1976.0,694.0
118,10,26,False,,1,0,0.0,76.93,1561.0,746.0
119,2,56,False,,1,0,0.0,64.24,3157.0,419.0
120,2,57,False,,1,0,0.0,64.03,3137.0,460.0
121,5,37,False,,1,0,0.0,71.34,2189.0,677.0
122,10,27,False,,1,0,0.0,77.58,1501.0,741.0
123,2,58,False,,1,0,0.0,64.49,3096.0,455.0
124,5,38,False,,1,0,0.0,71.4,2126.0,734.0
125,2,59,False,,1,0,0.0,64.42,3088.0,470.0
126,20,30,False,,1,0,0.0,80.8,1049.0,871.0
127,10,28,False,,1,0,0.0,77.45,1498.0,757.0
128,5,39,False,,1,0,0.0,72.2,2060.0,720.0
129,2,60,False,,1,0,0.0,64.69,3083.0,448.0
130,2,61,False,,1,0,0.0,65.24,3024.0,452.0
131,5,40,False,,1,0,0.0,72.18,2071.0,711.0
132,10,29,False,,1,0,0.0,76.93,1554.0,753.0
133,2,62,False,,1,0,0.0,65.63,2987.0,450.0
134,20,31,False,,1,0,0.0,81.01,1063.0,836.0
135,5,41,False,,1,0,0.0,72.12,2035.0,753.0
136,2,63,False,,1,0,0.0,65.94,2936.0,470.0
137,10,30,False,,1,0,0.0,77.17,1479.0,804.0
138,5,42,False,,1,0,0.0,72.14,2058.0,728.0
139,2,64,False,,1,0,0.0,66.14,2894.0,492.0
140,2,65,False,,1,0,0.0,66.67,2864.0,469.0
141,5,43,False,,1,0,0.0,72.18,2046.0,736.0
142,20,32,False,,1,0,0.0,80.82,1065.0,853.0
143,2,66,False,,1,0,0.0,66.69,2871.0,460.0
144,1,67,False,,1,0,0.0,50.27,4775.0,198.0
145,5,44,False,,1,0,0.0,72.02,2012.0,786.0
146,1,68,False,,1,0,0.0,51.04,4682.0,214.0
147,4,45,False,,1,0,0.0,71.06,2243.0,651.0
148,1,69,False,,1,0,0.0,50.66,4748.0,186.0
149,1,70,False,,1,0,0.0,51.2,4661.0,219.0
150,4,46,False,,1,0,0.0,70.81,2239.0,680.0
151,20,33,False,,1,0,0.0,80.24,1059.0,917.0
152,1,71,False,,1,0,0.0,52.44,4563.0,193.0
153,1,72,False,,1,0,0.0,52.11,4580.0,209.0
154,4,47,False,,1,0,0.0,71.02,2167.0,731.0
155,1,73,False,,1,0,0.0,52.56,4540.0,204.0
156,4,48,False,,1,0,0.0,70.93,2243.0,664.0
157,1,74,False,,1,0,0.0,53.05,4478.0,217.0
158,1,75,False,,1,0,0.0,53.56,4434.0,210.0
159,20,34,False,,1,0,0.0,80.52,1064.0,884.0
160,4,49,False,,1,0,0.0,70.89,2149.0,762.0
161,1,76,False,,1,0,0.0,53.99,4388.0,213.0
162,1,77,False,,1,0,0.0,54.55,4319.0,226.0
163,4,50,False,,1,0,0.0,70.52,2236.0,712.0
164,1,78,False,,1,0,0.0,54.65,4309.0,226.0
